Date,AQI
2017-07-26 00:00:00,63
2017-07-27 00:00:00,75
2017-07-28 00:00:00,70
2017-07-29 00:00:00,96
2017-07-30 00:00:00,43
2017-07-31 00:00:00,48
2017-08-24 00:00:00,116
2017-08-25 00:00:00,141
2017-08-26 00:00:00,114
2017-08-27 00:00:00,104
2017-08-28 00:00:00,70
2017-08-29 00:00:00,68
2017-08-30 00:00:00,77
2017-08-31 00:00:00,92
2017-09-01 00:00:00,69
2017-09-02 00:00:00,65
2017-09-03 00:00:00,80
2017-09-04 00:00:00,106
2017-09-05 00:00:00,91
2017-09-06 00:00:00,86
2017-09-07 00:00:00,82
2017-09-08 00:00:00,152
2017-09-09 00:00:00,125
2017-09-10 00:00:00,154
2017-09-11 00:00:00,149
2017-09-12 00:00:00,118
2017-09-13 00:00:00,141
2017-09-14 00:00:00,191
2017-09-15 00:00:00,215
2017-09-16 00:00:00,137
2017-09-17 00:00:00,126
2017-09-18 00:00:00,124
2017-09-19 00:00:00,152
2017-09-20 00:00:00,174
2017-09-21 00:00:00,175
2017-09-22 00:00:00,67
2017-09-23 00:00:00,59
2017-09-24 00:00:00,105
2017-09-25 00:00:00,143
2017-09-26 00:00:00,177
2017-09-27 00:00:00,206
2017-09-28 00:00:00,205
2017-09-29 00:00:00,208
2017-09-30 00:00:00,192
2017-10-01 00:00:00,170
2017-10-02 00:00:00,144
2017-10-03 00:00:00,159
2017-10-04 00:00:00,220
2017-10-05 00:00:00,254
2017-10-06 00:00:00,187
2017-10-08 00:00:00,234
2017-10-09 00:00:00,268
2017-10-10 00:00:00,238
2017-10-11 00:00:00,252
2017-10-12 00:00:00,273
2017-10-13 00:00:00,262
2017-10-15 00:00:00,272
2017-10-16 00:00:00,274
2017-10-17 00:00:00,316
2017-10-18 00:00:00,286
2017-10-19 00:00:00,293
2017-10-20 00:00:00,357
2017-10-21 00:00:00,396
2017-10-22 00:00:00,311
2017-10-23 00:00:00,287
2017-10-24 00:00:00,294
2017-10-25 00:00:00,352
2017-10-26 00:00:00,324
2017-10-27 00:00:00,332
2017-10-28 00:00:00,347
2017-10-29 00:00:00,336
2017-10-30 00:00:00,328
2017-10-31 00:00:00,335
2017-11-01 00:00:00,354
2017-11-02 00:00:00,285
2017-11-03 00:00:00,327
2017-11-04 00:00:00,357
2017-11-05 00:00:00,363
2017-11-06 00:00:00,356
2017-11-07 00:00:00,449
2017-11-08 00:00:00,487
2017-11-09 00:00:00,487
2017-11-10 00:00:00,470
2017-11-11 00:00:00,431
2017-11-12 00:00:00,491
2017-11-13 00:00:00,465
2017-11-14 00:00:00,384
2017-11-15 00:00:00,354
2017-11-16 00:00:00,363
2017-11-17 00:00:00,307
2017-11-18 00:00:00,299
2017-11-19 00:00:00,291
2017-11-20 00:00:00,325
2017-11-21 00:00:00,325
2017-11-22 00:00:00,328
2017-11-23 00:00:00,316
2017-11-24 00:00:00,335
2017-11-25 00:00:00,337
2017-11-26 00:00:00,361
2017-11-27 00:00:00,365
2017-11-28 00:00:00,327
2017-11-29 00:00:00,344
2017-11-30 00:00:00,368
2017-12-01 00:00:00,343
2017-12-02 00:00:00,333
2017-12-03 00:00:00,355
2017-12-04 00:00:00,391
2017-12-05 00:00:00,380
2017-12-06 00:00:00,296
2017-12-07 00:00:00,191
2017-12-08 00:00:00,217
2017-12-09 00:00:00,308
2017-12-10 00:00:00,378
2017-12-11 00:00:00,363
2017-12-12 00:00:00,225
2017-12-13 00:00:00,270
2017-12-14 00:00:00,285
2017-12-15 00:00:00,284
2017-12-16 00:00:00,223
2017-12-17 00:00:00,199
2017-12-18 00:00:00,236
2017-12-19 00:00:00,297
2017-12-20 00:00:00,372
2017-12-21 00:00:00,446
2017-12-22 00:00:00,321
2017-12-23 00:00:00,228
2017-12-24 00:00:00,309
2017-12-25 00:00:00,384
2017-12-26 00:00:00,342
2017-12-27 00:00:00,360
2017-12-28 00:00:00,383
2017-12-29 00:00:00,367
2017-12-30 00:00:00,400
2017-12-31 00:00:00,406
2018-01-01 00:00:00,406
2018-01-02 00:00:00,418
2018-01-03 00:00:00,382
2018-01-04 00:00:00,366
2018-01-05 00:00:00,390
2018-01-06 00:00:00,405
2018-01-07 00:00:00,355
2018-01-08 00:00:00,288
2018-01-09 00:00:00,359
2018-01-10 00:00:00,352
2018-01-11 00:00:00,309
2018-01-12 00:00:00,298
2018-01-13 00:00:00,359
2018-01-14 00:00:00,321
2018-01-15 00:00:00,331
2018-01-16 00:00:00,255
2018-01-17 00:00:00,353
2018-01-18 00:00:00,400
2018-01-19 00:00:00,406
2018-01-20 00:00:00,323
2018-01-21 00:00:00,276
2018-01-22 00:00:00,342
2018-01-23 00:00:00,324
2018-01-24 00:00:00,270
2018-01-25 00:00:00,243
2018-01-26 00:00:00,261
2018-01-27 00:00:00,286
2018-01-28 00:00:00,300
2018-01-29 00:00:00,302
2018-01-30 00:00:00,270
2018-01-31 00:00:00,244
2018-02-01 00:00:00,274
2018-02-02 00:00:00,293
2018-02-03 00:00:00,243
2018-02-04 00:00:00,256
2018-02-05 00:00:00,291
2018-02-06 00:00:00,287
2018-02-07 00:00:00,261
2018-02-08 00:00:00,308
2018-02-09 00:00:00,335
2018-02-10 00:00:00,341
2018-02-11 00:00:00,304
2018-02-12 00:00:00,178
2018-02-13 00:00:00,191
2018-02-14 00:00:00,187
2018-02-15 00:00:00,187
2018-02-16 00:00:00,235
2018-02-17 00:00:00,256
2018-02-18 00:00:00,257
2018-02-19 00:00:00,294
2018-02-20 00:00:00,296
2018-02-21 00:00:00,308
2018-02-22 00:00:00,300
2018-02-23 00:00:00,302
2018-02-24 00:00:00,320
2018-02-25 00:00:00,266
2018-02-26 00:00:00,156
2018-02-27 00:00:00,160
2018-02-28 00:00:00,272
2018-03-01 00:00:00,257
2018-03-02 00:00:00,260
2018-03-03 00:00:00,203
2018-03-04 00:00:00,178
2018-03-05 00:00:00,172
2018-03-06 00:00:00,167
2018-03-07 00:00:00,185
2018-03-08 00:00:00,245
2018-03-09 00:00:00,280
2018-03-10 00:00:00,170
2018-03-11 00:00:00,170
2018-03-12 00:00:00,214
2018-03-13 00:00:00,217
2018-03-14 00:00:00,267
2018-03-15 00:00:00,297
2018-03-16 00:00:00,256
2018-03-17 00:00:00,186
2018-03-18 00:00:00,169
2018-03-19 00:00:00,173
2018-03-20 00:00:00,217
2018-03-21 00:00:00,289
2018-03-22 00:00:00,186
2018-03-23 00:00:00,151
2018-03-24 00:00:00,175
2018-03-25 00:00:00,195
2018-03-26 00:00:00,183
2018-03-27 00:00:00,230
2018-03-28 00:00:00,255
2018-03-29 00:00:00,213
2018-03-30 00:00:00,218
2018-03-31 00:00:00,256
2018-04-01 00:00:00,195
2018-04-02 00:00:00,219
2018-04-03 00:00:00,207
2018-04-04 00:00:00,203
2018-04-05 00:00:00,290
2018-04-06 00:00:00,208
2018-04-07 00:00:00,143
2018-04-08 00:00:00,141
2018-04-09 00:00:00,120
2018-04-10 00:00:00,230
2018-04-11 00:00:00,141
2018-04-12 00:00:00,99
2018-04-13 00:00:00,188
2018-04-14 00:00:00,217
2018-04-15 00:00:00,224
2018-04-16 00:00:00,285
2018-04-17 00:00:00,244
2018-04-18 00:00:00,228
2018-04-19 00:00:00,244
2018-04-20 00:00:00,246
2018-04-21 00:00:00,356
2018-04-22 00:00:00,211
2018-04-23 00:00:00,160
2018-04-24 00:00:00,254
2018-04-25 00:00:00,266
2018-04-26 00:00:00,313
2018-04-27 00:00:00,310
2018-04-28 00:00:00,301
2018-04-29 00:00:00,248
2018-04-30 00:00:00,209
2018-05-01 00:00:00,177
2018-05-02 00:00:00,153
2018-05-03 00:00:00,160
2018-05-04 00:00:00,139
2018-05-05 00:00:00,173
2018-05-06 00:00:00,269
2018-05-07 00:00:00,211
2018-05-08 00:00:00,208
2018-05-09 00:00:00,163
2018-05-10 00:00:00,190
2018-05-11 00:00:00,256
2018-05-12 00:00:00,304
2018-05-13 00:00:00,215
2018-05-14 00:00:00,130
2018-05-15 00:00:00,164
2018-05-16 00:00:00,190
2018-05-17 00:00:00,243
2018-05-18 00:00:00,225
2018-05-19 00:00:00,242
2018-05-20 00:00:00,199
2018-05-21 00:00:00,183
2018-05-22 00:00:00,212
2018-05-23 00:00:00,301
2018-05-24 00:00:00,252
2018-05-25 00:00:00,251
2018-05-26 00:00:00,235
2018-05-27 00:00:00,277
2018-05-28 00:00:00,275
2018-05-29 00:00:00,285
2018-05-30 00:00:00,281
2018-05-31 00:00:00,208
2018-06-01 00:00:00,198
2018-06-02 00:00:00,173
2018-06-03 00:00:00,174
2018-06-04 00:00:00,183
2018-06-05 00:00:00,169
2018-06-06 00:00:00,136
2018-06-07 00:00:00,164
2018-06-08 00:00:00,179
2018-06-09 00:00:00,127
2018-06-10 00:00:00,158
2018-06-11 00:00:00,183
2018-06-12 00:00:00,296
2018-06-13 00:00:00,445
2018-06-14 00:00:00,431
2018-06-15 00:00:00,447
2018-06-16 00:00:00,369
2018-06-17 00:00:00,289
2018-06-18 00:00:00,171
2018-06-19 00:00:00,121
2018-06-20 00:00:00,177
2018-06-21 00:00:00,226
2018-06-22 00:00:00,236
2018-06-23 00:00:00,218
2018-06-24 00:00:00,183
2018-06-25 00:00:00,192
2018-06-26 00:00:00,110
2018-06-27 00:00:00,93
2018-06-28 00:00:00,76
2018-06-29 00:00:00,72
2018-06-30 00:00:00,96
2018-07-01 00:00:00,92
2018-07-02 00:00:00,106
2018-07-03 00:00:00,114
2018-07-04 00:00:00,137
2018-07-05 00:00:00,123
2018-07-06 00:00:00,147
2018-07-07 00:00:00,151
2018-07-08 00:00:00,182
2018-07-09 00:00:00,157
2018-07-10 00:00:00,134
2018-07-11 00:00:00,106
2018-07-12 00:00:00,143
2018-07-13 00:00:00,99
2018-07-14 00:00:00,76
2018-07-15 00:00:00,76
2018-07-16 00:00:00,87
2018-07-17 00:00:00,91
2018-07-18 00:00:00,106
2018-07-19 00:00:00,88
2018-07-20 00:00:00,80
2018-07-21 00:00:00,111
2018-07-22 00:00:00,61
2018-07-23 00:00:00,67
2018-07-24 00:00:00,90
2018-07-25 00:00:00,78
2018-07-26 00:00:00,74
2018-07-27 00:00:00,54
2018-07-28 00:00:00,57
2018-07-29 00:00:00,90
2018-07-30 00:00:00,115
2018-07-31 00:00:00,132
2018-08-01 00:00:00,153
2018-08-02 00:00:00,235
2018-08-03 00:00:00,213
2018-08-04 00:00:00,216
2018-08-05 00:00:00,241
2018-08-06 00:00:00,133
2018-08-07 00:00:00,113
2018-08-08 00:00:00,86
2018-08-09 00:00:00,88
2018-08-10 00:00:00,102
2018-08-11 00:00:00,96
2018-08-12 00:00:00,83
2018-08-13 00:00:00,94
2018-08-14 00:00:00,117
2018-08-15 00:00:00,120
2018-08-16 00:00:00,86
2018-08-17 00:00:00,84
2018-08-18 00:00:00,80
2018-08-19 00:00:00,89
2018-08-20 00:00:00,137
2018-08-21 00:00:00,87
2018-08-22 00:00:00,78
2018-08-23 00:00:00,69
2018-08-24 00:00:00,80
2018-08-25 00:00:00,89
2018-08-26 00:00:00,78
2018-08-27 00:00:00,62
2018-08-28 00:00:00,71
2018-08-29 00:00:00,68
2018-08-30 00:00:00,78
2018-08-31 00:00:00,127
2018-09-01 00:00:00,114
2018-09-02 00:00:00,106
2018-09-03 00:00:00,73
2018-09-04 00:00:00,112
2018-09-05 00:00:00,90
2018-09-06 00:00:00,137
2018-09-07 00:00:00,91
2018-09-08 00:00:00,86
2018-09-09 00:00:00,61
2018-09-10 00:00:00,84
2018-09-11 00:00:00,79
2018-09-12 00:00:00,90
2018-09-13 00:00:00,103
2018-09-14 00:00:00,102
2018-09-15 00:00:00,118
2018-09-16 00:00:00,121
2018-09-17 00:00:00,135
2018-09-18 00:00:00,150
2018-09-19 00:00:00,154
